product_name,product_price,installment_price,free_shipment
 Infinity War Colección Completa ,55.0,,False
 Rifle Deportivo Daisy Con Mira Y 1500 Postas ,1399.0,138.21,True
 Ojo De Agamotto Dr Strange Envío Gratis!!!! ,180.0,17.78,True
 Funko Bb ,160.0,15.81,True
 6 Gemas Del Infinito Avengers + Cofre Madera Thanos Iron Man ,129.0,12.74,True
 Dc Comic Dc Black Label Kingdom Come Tapa Dura Español ,549.0,45.75,True
 Libro Novela Gráfica The Chilling Adventures Of Sabrina ,335.0,33.1,True
 Banda Itachi Hoja Konoha Renegado Naruto 1m Envio Gratis! ,149.0,12.42,True
 Super Palomera Cinemex Rey Leon 2019 Timon Y Pumba Sellada ,499.0,49.3,True
 Album Dc Comics Pepsi Card Reimpresion Del Año 2000 $199 ,199.0,19.66,False
 Comics Editorial Televisa Bolsas En Paquete Para Su Cuidado ,165.0,16.3,False
 Dc Comics Deluxe Watchmen Sellado Español Nueva Edicion ,699.0,58.25,True
 Comic Batman Knightfall Volumen 1 Edicion 25 Aniversario ,369.0,30.75,False
 Juegos Del Hambre Pin Sinsajo Liberado Hunger Games Katniss ,59.0,,False
 Mini Lampara Bati-señal Batman De Colección + Libreto ,395.0,39.02,True
 Dc Essential Edition: Batman: Saga De La Corte De Los Buhos ,499.0,41.58,True
 Caja Comic ,150.0,14.82,True
 Arcano Toys Memin Penguin Cagon Bootleg 1 Sobre Para Popo ,199.0,19.66,True
 50 Cápsulas Premium De 2pulgadas Para Máquina Vending ,290.0,28.65,False
 Termo Cilindrico Deadpool Con Tu Nombre. ,395.0,,True
 Comic El Origen De Kaliman # 1 El Legado De Kali Sellado ,119.0,9.92,False
 Infierno Para Inocentes ,230.0,22.72,False
 Dc Comics Deluxe Flashpoint Nuevo Y Sellado Español ,549.0,45.75,True
 Dc Comics Batman Damned Libro Uno Azzarello Sellado Nuevo ,199.0,16.58,False
 Comic Crisis En Las Tierras Infinitas Marv Wolfman Español ,599.0,49.92,True
 Collar Doctor Strange: Ojo De Agamotto ,80.0,,False
 Tradiciones Y Leyendas De La Colonia Arriba Del # 100 1965-9 ,150.0,14.82,False
 Star Wars Comics Volumenes ,100.0,9.88,False
 Comic Batman Damned Libro Dos Nuevo Sellado Azarello Bermejo ,199.0,16.58,False
 Enciclopedia Star Wars 1 Al 8 Milenio D. K. En Español ,220.0,21.73,False
 Comic Batman Last Knight On Earth Libro Uno Español Sellado ,99.0,,False
" Comic Archi, Editorial Novaro Y Vid, Años 70's, 80's Y 90's ",150.0,12.5,False
 Comic El Origen De Kaliman # 3 El Legado De Kali Sellado ,99.0,,False
 Aviones De Combate Salvat 01 F-35 Lightning Il Lockheed ,399.0,39.42,True
 El Principito Peluche Zorro Juguete Grande 60cm ,250.0,24.7,True
 He-man Vs. Thundercats #2 Editorial Televisa Nuevo ,45.0,,False
 Comic Batman Smash Clasicos Detective Comics # 27 Sellado ,499.0,41.58,True
 Dc Comics Deluxe Dark Nights: Batman Metal Nuevo Y Sellado ,699.0,58.25,True
 Comic El Origen De Kaliman # 2 El Legado De Kali Sellado ,89.0,,False
 Comic Hellboy #9: La Cacería Salvaje Sellado Español ,249.0,20.75,False
 Mini Lampara Batman Batiseñal Nueva + Libro 48 Paginas ,289.0,24.08,False
 Comic Marvel Deluxe: Spider-man/deadpool Nuevo Sellado ,399.0,33.25,False
 Paquetes 100 Bolsas Con Adhesivo 100 Cartones Para Comic ,159.0,15.71,True
 Comic Hellboy #10: El Hombre Retorcido Y Otras Historias ,239.0,19.92,False
 Marvel Zombies Marvel Best Sellers ,300.0,29.64,False
 Banda Itachi Hoja Konoha Renegado Naruto 1m Envio Gratis! ,149.0,12.42,True
 Fasciculos Ford F100 Pickup Salvat Varios Números ,319.0,31.51,False
 Batman Tmnt Tortugas Ninjas 2 Completa Dc Televisa 2018 ,350.0,34.58,False
 Marvel Movie Collection Escala 1:16 ,370.0,36.55,False
" Comic The Walking Dead Disponibles Del 01 Al 26 Nuevos, ",169.0,14.08,False
" Protección Comics Grapa Paquete 100 Bolsas, 100 Cartones ",269.0,22.42,True
 25 Bolsas Y 25 Cartones Protectores Para Comics Tamaño Grapa ,55.0,,False
 Kingdom Come Dc Deluxe Pasta Dura ,650.0,64.21,True
 Dc Clasicos Modernos Batman Knightfall Volumen 2 Aniversario ,369.0,30.75,False
 Maximum Carnage Vol.1 Y 2 Spider-man Marvel Best Sellers ,650.0,64.21,True
 Batman White Knight Dc Deluxe Pasta Dura ,650.0,64.21,True
 Deluxe The Amazing Spider-man: La Última Cacería De Kraven ,369.0,30.75,False
 Revista Lego Batman Dc # 5 Con Figura The Joker Nueva! ,99.0,,True
 Hellboy Vol.4 Dark Horse Televisa ,290.0,28.65,False
 Revista Simpson Comics ,35.0,,False
 Termo Para Café Homero Simpson Estilo Starbucks ,385.0,,True
 Comic Dc Comics Deluxe: Doomsday Clock Vol. 1 Español ,599.0,49.92,True
 Fables. Comics ,35.0,,False
 Comic Marvel Deluxe: The Infinity Gauntlet Nuevo Sellado ,649.0,54.08,True
 Star Wars Legends Tomo 28 Infinities 1 En Español ,199.0,19.76,True
 Spider-man La Saga Completa Del Traje Alienígena Libro Dos ,599.0,49.92,True
 Set Porta Vasos Duff Simpsons ,140.0,,False
 Comic Marvel Spider-man Figura Para Ventana Y/o Para Coche ,99.0,,False
 Revista Lego Batman Dc # 3 Figura Super Man Nueva! ,89.0,,True
 Especial Paquetes 100 Cartones Calibre 20 Mayor Protección ,98.0,,False
 Comic Smash Clasicos Action Comics # 1 Sellado Y Nuevo ,399.0,33.25,False
 Naruto Funda De Almohada Hinata ,99.0,,False
 Todo Mortadelo Y Filemon 35 Oferta ,159.0,,False
 Comic The Last Of Us Edicion Especial Letras Doradas Nuevo ,369.0,30.75,True
 Comic Batman Detective Comics 1000 Portada Jim Lee Exclusiva ,139.0,11.58,False
 Juegos Del Hambre Pin Sinsajo Liberado Hunger Games Katniss ,59.0,,False
 Bolsas Protectoras Para Comics Tamaño Deluxe De Pasta Dura ,100.0,8.33,False
 Especial Paquetes 100 Bolsas Con Adhesivo Y 100 Cartones ,269.0,26.57,True
 Comic Hellboy Vol. 1 Semilla De Destruccion Nuevo Sellado ,299.0,24.92,False
 Comic Marvel Deluxe Miracleman Libro 2 En Español Nuevo ,299.0,24.92,False
